Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
08-31-19,Okanogan,WA,Truck,0,0,0,"16.0,475","16.0,475",0.00
04-30-17,Lewis,WA,Truck,0,0,0,24.00000004,24.00000004,0.00
09-30-20,Kittitas,WA,Passenger,113,48,161,"29.0,697","29.0,858",0.54
11-30-21,Harnett,NC,Passenger,1,1,2,170,172,1.16
February 29 2020,Tarrant,TX,Passenger,3,0,3,191,194,1.55
06-30-18,Dallas,TX,Passenger,0,1,1,197,198,0.51
11-30-20,Jefferson,NY,Passenger,0,1,1,211,212,0.47
12-31-21,Boone,MO,Passenger,0,1,1,11,12,8.33
February 28 2023,Franklin,WA,Passenger,275,128,403,"0.0,826","0.0,229",0.65
03-31-19,Pacific,WA,Truck,0,0,0,"7.0,651","7.0,651",0.00
07-31-17,San Juan,WA,Passenger,112,39,151,13.000000000,"13.0,711",1.10
10-31-19,Lewis,WA,Truck,0,0,0,"0.0,042","0.0,042",0.00
09-30-21,Monterey,CA,Passenger,0,3,3,153,156,1.92
February 28 2017,Yakima,WA,Truck,0,0,0,"0.0,222","0.0,222",0.00
03-31-23,Franklin,WA,Passenger,285,131,416,"61.0,876","0.0,292",0.67
10-31-18,Mecklenburg,NC,Passenger,1,0,1,81,82,1.22
03-31-19,Hardin,KY,Passenger,0,1,1,97,98,1.02
04-30-22,Howard,MD,Passenger,0,2,2,66,68,2.94
01-31-24,Montgomery,OH,Passenger,0,1,1,35,36,2.78
February 28 2022,Hamilton,IN,Passenger,2,0,2,25,27,7.41
07-31-22,Oldham,KY,Passenger,0,1,1,4,5,20.00
10-31-20,Fairbanks North Star,AK,Passenger,0,1,1,95,96,1.04
09-30-21,Benton,WA,Passenger,579,414,993,"0.0,200","137.0,193",0.72
01-31-17,Dallas,TX,Passenger,1,0,1,232,233,0.43
08-31-23,Snohomish,WA,Truck,198,0,198,121.0000099,"0.0,297",0.16
12-31-20,Utah,UT,Passenger,0,1,1,131,132,0.76
12-31-18,Volusia,FL,Passenger,0,1,1,40,41,2.44
01-31-24,Yuba,CA,Passenger,1,0,1,43,44,2.27
05-31-21,Ulster,NY,Passenger,1,0,1,13,14,7.14
February 28 2017,Sumter,FL,Passenger,0,1,1,10,11,9.09
12-31-22,Orange,NC,Passenger,0,1,1,6,7,14.29
10-31-20,Jones,GA,Passenger,1,0,1,1,2,50.00
12-31-22,Contra Costa,CA,Passenger,0,3,3,211,214,1.40
06-30-20,Clallam,WA,Truck,1,0,1,"21.0,754","21.0,755",0.00
February 28 2019,Goochland,VA,Passenger,1,1,2,247,249,0.80
10-31-18,Portsmouth,VA,Passenger,0,1,1,78,79,1.27
08-31-22,Los Angeles,CA,Passenger,5,7,12,793,805,1.49
12-31-19,DuPage,IL,Passenger,3,0,3,66,69,4.35
11-30-22,Broward,FL,Passenger,1,0,1,75,76,1.32
February 28 2019,Hennepin,MN,Passenger,2,0,2,103,105,1.90
04-30-19,Guadalupe,TX,Passenger,1,0,1,81,82,1.22
10-31-22,Marin,CA,Passenger,1,1,2,30,32,6.25
11-30-17,Hamilton,TN,Passenger,1,0,1,21,22,4.55
February 29 2024,Rockdale,GA,Passenger,1,0,1,5,6,16.67
03-31-23,Contra Costa,CA,Passenger,0,3,3,201,204,1.47
01-31-23,Klickitat,WA,Passenger,127,53,180,"15.0,154","15.0,334",1.17
12-31-22,Franklin,WA,Passenger,252,120,372,"61.0,694",62.0000066,0.60
09-30-23,Garfield,WA,Truck,0,0,0,973,973,0.00
03-31-19,Grays Harbor,WA,Truck,0,0,0,"20.0,375","20.0,375",0.00
07-31-18,Portsmouth,VA,Passenger,0,1,1,73,74,1.35
February 28 2023,Kern,CA,Passenger,1,1,2,200,202,0.99
06-30-20,Saginaw,MI,Passenger,1,0,1,12,13,7.69
06-30-17,Sedgwick,KS,Passenger,0,1,1,112,113,0.88
09-30-19,Sangamon,IL,Passenger,1,0,1,6,7,14.29
06-30-20,Hillsborough,FL,Passenger,0,1,1,182,183,0.55
11-30-20,Portsmouth,VA,Passenger,0,1,1,80,81,1.23
08-31-20,Pend Oreille,WA,Passenger,8,5,13,"0.0,227","0.0,240",0.14
12-31-22,Kern,CA,Passenger,1,1,2,203,205,0.98
10-31-18,Dakota,MN,Passenger,0,2,2,33,35,5.71
09-30-22,Bell,TX,Passenger,1,0,1,319,320,0.31
08-31-21,Contra Costa,CA,Passenger,2,4,6,258,264,2.27
11-30-19,Stafford,VA,Passenger,1,1,2,99,101,1.98
05-31-23,Palm Beach,FL,Passenger,1,1,2,47,49,4.08
05-31-22,St. Clair,IL,Passenger,1,0,1,122,123,0.81
04-30-18,DeKalb,GA,Passenger,1,0,1,85,86,1.16
09-30-22,Meade,KY,Passenger,1,0,1,21,22,4.55
05-31-22,Hennepin,MN,Passenger,2,0,2,58,60,3.33
11-30-23,Allen,IN,Passenger,1,0,1,9,10,10.00
February 28 2023,Orange,NC,Passenger,0,1,1,6,7,14.29
08-31-17,Grays Harbor,WA,Truck,0,0,0,"0.0,932","0.0,932",0.00
01-31-17,Garfield,WA,Passenger,0,0,0,"0.0,285","0.0,285",0.00
February 28 2022,Solano,CA,Passenger,1,0,1,174,175,0.57
01-31-19,Ada,ID,Passenger,0,2,2,322,324,0.62
04-30-22,Gwinnett,GA,Passenger,1,0,1,53,54,1.85
09-30-17,DeKalb,IN,Passenger,1,0,1,1,2,50.00
07-31-17,Ferry,WA,Passenger,1,1,2,"0.0,402",4.00000004,0.05
01-31-18,Clay,FL,Passenger,0,1,1,105,106,0.94
03-31-20,Portsmouth,VA,Passenger,0,1,1,78,79,1.27
08-31-20,Yakima,WA,Truck,0,0,0,"60.0,415","60.0,415",0.00
07-31-20,Spartanburg,SC,Passenger,0,1,1,49,50,2.00
07-31-21,Houston,GA,Passenger,1,0,1,46,47,2.13
12-31-23,New London,CT,Passenger,2,2,4,148,152,2.63
11-30-23,Houston,GA,Passenger,1,0,1,27,28,3.57
11-30-23,Middlesex,NJ,Passenger,1,0,1,18,19,5.26
February 28 2022,Shelby,OH,Passenger,0,1,1,3,4,25.00
03-31-21,Randolph,NC,Passenger,1,0,1,8,9,11.11
03-31-23,Orange,NC,Passenger,0,1,1,6,7,14.29
12-31-18,Pierce,WA,Passenger,1.00000009,"1.0,373","0.0,882","0.0,762","541.0,644",0.53
12-31-18,Walla Walla,WA,Truck,0,0,0,"0.0,524","0.0,524",0.00
06-30-23,Pulaski,AR,Passenger,3,0,3,17,20,15.00
10-31-23,Okanogan,WA,Passenger,146,74,220,"25.0,965","26.0,185",0.84
03-31-22,Moore,NC,Passenger,0,1,1,125,126,0.79
03-31-19,Broward,FL,Passenger,2,1,3,128,131,2.29
12-31-23,Salt Lake,UT,Passenger,1,1,2,83,85,2.35
01-31-23,Loudoun,VA,Passenger,3,2,5,60,65,7.69
February 29 2024,Walla Walla,WA,Passenger,272,141,413,"0.0,269","0.0,682",1.19
08-31-18,Whitman,WA,Passenger,20,30,50,"22.0,675","0.0,725",0.22
09-30-21,Orange,CA,Passenger,5,2,7,431,438,1.60
10-31-20,Thurston,WA,Truck,0,0,0,"0.0,289","0.0,289",0.00
February 29 2020,Jefferson,CO,Passenger,0,1,1,59,60,1.67
11-30-23,Maui,HI,Passenger,1,0,1,20,21,4.76
06-30-20,Island,WA,Truck,1,0,1,"21.0,194","21.0,195",0.00
01-31-20,Okanogan,WA,Passenger,32,30,62,"0.0,214","0.0,276",0.24
05-31-17,Sumter,FL,Passenger,0,1,1,10,11,9.09
February 28 2021,Okanogan,WA,Truck,0,0,0,"0.0,621","0.0,621",0.00
01-31-19,Manatee,FL,Passenger,1,0,1,37,38,2.63
12-31-21,Allegheny,PA,Passenger,1,1,2,67,69,2.90
05-31-19,Wilson,TX,Passenger,0,1,1,7,8,12.50
05-31-18,Hamilton,IN,Passenger,1,0,1,46,47,2.13
04-30-19,Charles,MD,Passenger,0,1,1,86,87,1.15
04-30-20,Mason,WA,Passenger,155,133,288,"47.0,197","47.0,485",0.61
10-31-21,Multnomah,OR,Passenger,2,6,8,653,661,1.21
08-31-19,Suffolk,MA,Passenger,0,1,1,38,39,2.56
05-31-19,Thurston,WA,Passenger,844,629,"1.0,473",197.0000049,"0.0,522",0.74
12-31-21,Yakima,WA,Passenger,286,173,459,168.00000004,"169.0,163",0.27
01-31-21,Okaloosa,FL,Passenger,0,1,1,143,144,0.69
09-30-23,Polk,OR,Passenger,1,1,2,12,14,14.29
04-30-23,Moore,NC,Passenger,0,1,1,108,109,0.92
10-31-22,Carroll,MD,Passenger,0,1,1,18,19,5.26
February 28 2022,Alexandria,VA,Passenger,4,0,4,111,115,3.48
07-31-21,San Joaquin,CA,Passenger,1,0,1,107,108,0.93
04-30-19,Cumberland,NC,Passenger,0,2,2,522,524,0.38
01-31-23,Adams,WA,Truck,1,0,1,"5.0,386","5.0,387",0.02
01-31-20,Anne Arundel,MD,Passenger,1,1,2,429,431,0.46
February 28 2023,Spokane,WA,Passenger,2.0000036,982,3.0000018,"0.0,652",326.000000000,0.92
04-30-17,Klickitat,WA,Passenger,22,23,45,"14.0,769","14.0,814",0.30
12-31-23,Island,WA,Truck,42,0,42,"20.0,646","20.0,688",0.20
10-31-20,Arapahoe,CO,Passenger,1,0,1,132,133,0.75
03-31-19,Montgomery,PA,Passenger,2,0,2,38,40,5.00
10-31-17,Adams,WA,Passenger,3,3,6,"0.0,280","0.0,286",0.05
04-30-21,Thurston,WA,Truck,0,0,0,"56.0,684","56.0,684",0.00
05-31-21,Benton,WA,Passenger,502,385,887,136.0000051,"136.0,938",0.65
03-31-23,Lewis,WA,Passenger,294,194,488,"58.0,773","0.0,261",0.82
06-30-22,San Diego,CA,Passenger,17,8,25,"2.0,419","2.0,444",1.02
01-31-22,Anne Arundel,MD,Passenger,3,1,4,362,366,1.09
12-31-23,Stevens,WA,Passenger,138,73,211,"29.0,177","29.0,388",0.72
February 29 2024,Mason,WA,Passenger,563,234,797,"44.0,396","45.0,193",1.76
